SYMPTOMS,REASON,SUB_COMMODITY,BusinessSegment,ProductCategory,ProductGroup,FamilyGroup,FormFactor,Supplier,Family,ProcessorSupplier,ProcessorSocketCount,REGION,CASE_COUNTRY,COMMODITY
OS does not boot (BIOS completes boot),No boot/No Video,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,EMEA,United Arab Emirates,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,OTHER,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
Blue screen,Blue/Red/Purple/black screen,OTHER,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
OS error message(s),System reboots,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,Japan,Non SystemBoard Issue
OS hang/unresponsive,No boot/No Video,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Blades,Wistron,ML110 Gen9,Intel,1,AM,USA,Non SystemBoard Issue
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AM,Chile,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),No boot/No Video,MULTIPLE PARTS,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,EMEA,Sweden,SYSTEM BOARD
OS does not boot (BIOS completes boot),No boot/No Video,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Blades,Wistron,ML110 Gen9,Intel,1,AM,USA,Non SystemBoard Issue
Port not Working - NIC,Device Not detected/Accessible/Available,CONNECTOR/PORT,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AM,USA,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,MULTIPLE PARTS,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
Remote Management - Management Processor Failure,iLO failure or error,REMOTE MANAGEMENT,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AM,USA,SYSTEM BOARD
No Boot - Blinking Health LED,No boot/No Video,MULTIPLE PARTS,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,China Peoples Republic Of,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,LA-Entry 1P,DL120,Rack,H3C,DL120 Gen9,Intel,1,AP,China Peoples Republic Of,SYSTEM BOARD
Runtime - OS Crash (xSOD Crash),Error warning reported by the system,MULTIPLE PARTS,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Blades,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
No Boot - Blinking Health LED,No boot/No Video,MULTIPLE PARTS,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
Port not Working - USB,System Board failure or error,CONNECTOR/PORT,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
Miscellaneous PCA Issues - Defective ROM,Error warning reported by the system,MISCELLANEOUS PCA ISSUES,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Blades,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
Miscellaneous PCA Issues - PCA Replaced for SW Issue,No boot/No Video,MISCELLANEOUS PCA ISSUES,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,SYSTEM BOARD
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,LA-Entry 1P,ML110,Tower,Wistron,ML110 Gen9,Intel,1,AM,Brazil,Non SystemBoard Issue
